H Table: (M=2.0, Z=0.02)

Isotopes	Yields	 
Ce-138		1.1846219E-11	
Ce-139		1.0148024E-99	
Ce-140		9.0610892E-09	
Ce-141		1.0148024E-99	
Ce-142		6.4088256E-10	
Ce-143		1.0148024E-99	
Ce-144		1.0148024E-99	
Ce-145		1.0148024E-99	
Ce-146		1.0148024E-99	
Pr-133		1.0148024E-99	
Pr-134		1.0148024E-99	
Pr-135		1.0148024E-99	
Pr-136		1.0148024E-99	
Pr-137		1.0148024E-99	
Pr-138		1.0148024E-99	
Pr-139		1.0148024E-99	
Pr-140		1.0148024E-99	
Pr-141		1.1885157E-09	
Pr-142		1.0148024E-99	
Pr-143		1.0148024E-99	
Pr-144		1.0148024E-99	
Pr-145		1.0148024E-99	
Pr-146		1.0148024E-99	
Pr-147		1.0148024E-99	
Pr-148		1.0148024E-99	
Pr-149		1.0148024E-99	
Nd-134		1.0148024E-99	
Nd-135		1.0148024E-99	
Nd-136		1.0148024E-99	
Nd-137		1.0148024E-99	
Nd-138		1.0148024E-99	
Nd-139		1.0148024E-99	
Nd-140		1.0148024E-99	
Nd-141		1.0148024E-99	
Nd-142		2.1590703E-09	
Nd-143		6.4380438E-10	
Nd-144		1.4649065E-09	
Nd-145		4.2199366E-10	
Nd-146		1.1450933E-09	
Nd-147		1.0148024E-99	
Nd-148		2.8833140E-10	
Nd-149		1.0148024E-99	
Nd-150		2.2414284E-10	
Nd-151		1.0148024E-99	
Nd-152		1.0148024E-99	
Pm-137		1.0148024E-99	
Pm-138		1.0148024E-99	
Pm-139		1.0148024E-99	
Pm-140		1.0148024E-99	
Pm-141		1.0148024E-99	
Pm-142		1.0148024E-99	
Pm-143		1.0148024E-99	
Pm-144		1.0148024E-99	
Pm-145		3.6131936E-18	
Pm-146		1.4261794E-29	
Pm-147		3.8296428E-26	
Pm-148		1.0148024E-99	
Pm-149		1.0148024E-99	
Pm-150		1.0148024E-99	
Pm-151		1.0148024E-99	
Pm-152		1.0148024E-99	
Pm-153		1.0148024E-99	
Pm-154		1.0148024E-99	
Sm-140		1.0148024E-99	
Sm-141		1.0148024E-99	
Sm-142		1.0148024E-99	
Sm-143		1.0148024E-99	
Sm-144		3.8051650E-11	
Sm-145		1.0148024E-99	
Sm-146		2.9780897E-14	
Sm-147		2.4592383E-10	
Sm-148		2.4682354E-10	
Sm-149		1.9807422E-10	
Sm-150		1.9096543E-10	
Sm-151		1.4390924E-12	
Sm-152		4.3283730E-10	
Sm-153		1.0148024E-99	
Sm-154		3.2814138E-10	
Sm-155		1.0148024E-99	
Sm-156		1.0148024E-99	
Sm-157		1.0148024E-99	
Sm-158		1.0148024E-99	
Eu-143		1.0148024E-99	
Eu-144		1.0148024E-99	
Eu-145		1.0148024E-99	
Eu-146		1.0148024E-99	
Eu-147		1.0148024E-99	
Eu-148		1.0148024E-99	
Eu-149		1.0148024E-99	
Eu-150		1.0148024E-99	
Eu-151		2.2262772E-10	
Eu-152		1.0499472E-19	
Eu-153		2.4844448E-10	
Eu-154		5.6695184E-19	
Eu-155		1.7260226E-21	
Eu-156		1.0148024E-99	
Eu-157		1.0148024E-99	
Eu-158		1.0148024E-99	
Eu-159		1.0148024E-99	
Gd-144		1.0148024E-99	
Gd-145		1.0148024E-99	
Gd-146		1.0148024E-99	
Gd-147		1.0148024E-99	
Gd-148		1.0148024E-99	
Gd-149		1.0148024E-99	
Gd-150		1.0148024E-99	
Gd-151		1.0148024E-99	
Gd-152		4.1703704E-12	
Gd-153		1.0148024E-99	
Gd-154		6.5329533E-11	
Gd-155		2.4545170E-10	
Gd-156		3.8080256E-10	
Gd-157		2.7265103E-10	
Gd-158		5.0457695E-10	
Gd-159		1.0148024E-99	
Gd-160		3.6228127E-10	
Gd-161		1.0148024E-99	
Gd-162		1.0148024E-99	
Tb-147		1.0148024E-99	
Tb-148		1.0148024E-99	
Tb-149		1.0148024E-99	
Tb-150		1.0148024E-99	
Tb-151		1.0148024E-99	
Tb-152		1.0148024E-99	
Tb-153		1.0148024E-99	
Tb-154		1.0148024E-99	
Tb-155		1.0148024E-99	
Tb-156		1.0148024E-99	
Tb-157		8.9031900E-15	
Tb-158		2.5537258E-15	
Tb-159		3.1125934E-10	
Tb-160		1.0148024E-99	
Tb-161		1.0148024E-99	
Tb-162		1.0148024E-99	
Tb-163		1.0148024E-99	
Tb-164		1.0148024E-99	
Tb-165		1.0148024E-99	
Dy-148		1.0148024E-99	
Dy-149		1.0148024E-99	
Dy-150		1.0148024E-99	
Dy-151		1.0148024E-99	
Dy-152		1.0148024E-99	
Dy-153		1.0148024E-99	
Dy-154		1.0148024E-99	
Dy-155		1.0148024E-99	
Dy-156		1.0343330E-12	
Dy-157		1.0148024E-99	
Dy-158		1.7982581E-12	
Dy-159		1.0148024E-99	
Dy-160		8.2953800E-11	
Dy-161		3.8196783E-10	
Dy-162		5.7580026E-10	
Dy-163		4.9953754E-10	
Dy-164		6.8279174E-10	
Dy-165		1.0148024E-99	
Dy-166		1.0148024E-99	
Dy-167		1.0148024E-99	
Dy-168		1.0148024E-99	
Ho-153		1.0148024E-99	
Ho-154		1.0148024E-99	
Ho-155		1.0148024E-99	
Ho-156		1.0148024E-99	
Ho-157		1.0148024E-99	
Ho-158		1.0148024E-99	
Ho-159		1.0148024E-99	
Ho-160		1.0148024E-99	
Ho-161		1.0148024E-99	
Ho-162		1.0148024E-99	
Ho-163		9.3365802E-12	
Ho-164		1.0148024E-99	
Ho-165		4.7335622E-10	
Ho-166		1.0148024E-99	
Ho-167		1.0148024E-99	
Ho-168		1.0148024E-99	
Ho-169		1.0148024E-99	
Er-154		1.0148024E-99	
Er-155		1.0148024E-99	
Er-156		1.0148024E-99	
Er-157		1.0148024E-99	
Er-158		1.0148024E-99	
Er-159		1.0148024E-99	
Er-160		1.0148024E-99	
Er-161		1.0148024E-99	
Er-162		1.6579953E-12	
Er-163		1.0148024E-99	
Er-164		3.5046701E-11	
Er-165		1.0148024E-99	
Er-166		4.7347496E-10	
Er-167		3.1375492E-10	
Er-168		4.5143583E-10	
Er-169		1.0148024E-99	
Er-170		2.4015567E-10	
Er-171		1.0148024E-99	
Er-172		1.0148024E-99	
Er-173		1.0148024E-99	
Er-174		1.0148024E-99	
Er-175		1.0148024E-99	
Tm-159		1.0148024E-99	
Tm-160		1.0148024E-99	
Tm-161		1.0148024E-99	
Tm-162		1.0148024E-99	
Tm-163		1.0148024E-99	
Tm-164		1.0148024E-99	
Tm-165		1.0148024E-99	
Tm-166		1.0148024E-99	
Tm-167		1.0148024E-99	
Tm-168		1.0148024E-99	
Tm-169		2.1555033E-10	
Tm-170		1.0148024E-99	
Tm-171		6.9241465E-32	
Tm-172		1.0148024E-99	
Tm-173		1.0148024E-99	
Tm-174		1.0148024E-99	
Tm-175		1.0148024E-99	
Tm-176		1.0148024E-99	
Yb-160		1.0148024E-99	
Yb-161		1.0148024E-99	
Yb-162		1.0148024E-99	
Yb-163		1.0148024E-99	
Yb-164		1.0148024E-99	
Yb-165		1.0148024E-99	
Yb-166		1.0148024E-99	
Yb-167		1.0148024E-99	
Yb-168		1.6315570E-12	
Yb-169		1.0148024E-99	
Yb-170		6.9882271E-11	
Yb-171		2.3214717E-10	
Yb-172		3.9301669E-10	
Yb-173		2.6436738E-10	
Yb-174		6.6925370E-10	
Yb-175		1.0148024E-99	
Yb-176		2.6155647E-10	
Yb-177		1.0148024E-99	
Yb-178		1.0148024E-99	
Yb-179		1.0148024E-99	
Yb-180		1.0148024E-99	
Lu-165		1.0148024E-99	
Lu-166		1.0148024E-99	
Lu-167		1.0148024E-99	
Lu-168		1.0148024E-99	
Lu-169		1.0148024E-99	
Lu-170		1.0148024E-99	
Lu-171		1.0148024E-99	
Lu-172		1.0148024E-99	
Lu-173		1.0148024E-99	
Lu-174		1.0148024E-99	
Lu-175		2.2467151E-10	
Lu-176		2.1836205E-11	
Lu-177		1.0148024E-99	
Lu-178		1.0148024E-99	
Lu-179		1.0148024E-99	
Lu-180		1.0148024E-99	
Lu-181		1.0148024E-99	
Lu-182		1.0148024E-99	
Hf-166		1.0148024E-99	
Hf-167		1.0148024E-99	
Hf-168		1.0148024E-99	
Hf-169		1.0148024E-99	
Hf-170		1.0148024E-99	
Hf-171		1.0148024E-99	
Hf-172		1.0148024E-99	
Hf-173		1.0148024E-99	
Hf-174		1.2688720E-12	
Hf-175		1.0148024E-99	
Hf-176		5.1984715E-11	
